original,translation
id,subjectcode
3rd Ventricle,_3rdventricle
4th Ventricle,_4thventricle
Right Accumbens Area,rightaccumbensarea
Left Accumbens Area,leftaccumbensarea
Right Amygdala,rightamygdala
Left Amygdala,leftamygdala
Brain Stem,brainstem
Right Caudate,rightcaudate
Left Caudate,leftcaudate
Right Cerebellum Exterior,rightcerebellumexterior
Left Cerebellum Exterior,leftcerebellumexterior
Right Cerebellum White Matter,rightcerebellumwhitematter
Left Cerebellum White Matter,leftcerebellumwhitematter
Right Cerebral White Matter,rightcerebralwhitematter
Left Cerebral White Matter,leftcerebralwhitematter
CSF,csfglobal
Right Hippocampus,righthippocampus
Left Hippocampus,lefthippocampus
Right Inf Lat Vent,rightinflatvent
Left Inf Lat Vent,leftinflatvent
Right Lateral Ventricle,rightlateralventricle
Left Lateral Ventricle,leftlateralventricle
Right Pallidum,rightpallidum
Left Pallidum,leftpallidum
Right Putamen,rightputamen
Left Putamen,leftputamen
Right Thalamus Proper,rightthalamusproper
Left Thalamus Proper,leftthalamusproper
Right Ventral DC,rightventraldc
Left Ventral DC,leftventraldc
Right vessel,DELETE
Left vessel,DELETE
Optic Chiasm,opticchiasm
Cerebellar Vermal Lobules I-V,cerebellarvermallobulesiv
Cerebellar Vermal Lobules VI-VII,cerebellarvermallobulesvivii
Cerebellar Vermal Lobules VIII-X,cerebellarvermallobulesviiix
Left Basal Forebrain,leftbasalforebrain
Right Basal Forebrain,rightbasalforebrain
Right ACgG anterior cingulate gyrus,rightacgganteriorcingulategyrus
Left ACgG anterior cingulate gyrus,leftacgganteriorcingulategyrus
Right AIns anterior insula,rightainsanteriorinsula
Left AIns anterior insula,leftainsanteriorinsula
Right AOrG anterior orbital gyrus,rightaorganteriororbitalgyrus
Left AOrG anterior orbital gyrus,leftaorganteriororbitalgyrus
Right AnG angular gyrus,rightangangulargyrus
Left AnG angular gyrus,leftangangulargyrus
Right Calc calcarine cortex,rightcalccalcarinecortex
Left Calc calcarine cortex,leftcalccalcarinecortex
Right CO central operculum,rightcocentraloperculum
Left CO central operculum,leftcocentraloperculum
Right Cun cuneus,rightcuncuneus
Left Cun cuneus,leftcuncuneus
Right Ent entorhinal area,rightententorhinalarea
Left Ent entorhinal area,leftententorhinalarea
Right FO frontal operculum,rightfofrontaloperculum
Left FO frontal operculum,leftfofrontaloperculum
Right FRP frontal pole,rightfrpfrontalpole
Left FRP frontal pole,leftfrpfrontalpole
Right FuG fusiform gyrus,rightfugfusiformgyrus
Left FuG fusiform gyrus,leftfugfusiformgyrus
Right GRe gyrus rectus,rightgregyrusrectus
Left GRe gyrus rectus,leftgregyrusrectus
Right IOG inferior occipital gyrus,rightioginferioroccipitalgyrus
Left IOG inferior occipital gyrus,leftioginferioroccipitalgyrus
Right ITG inferior temporal gyrus,rightitginferiortemporalgyrus
Left ITG inferior temporal gyrus,leftitginferiortemporalgyrus
